county_desc,DEM,GRE,LIB,REP,UNA,Female,Male,Undisclosed,gender_na,A,B,I,M,O,U,W,race_na,HL,NL,UN
PITT,43838,7,543,26046,26237,52765,40871,3035,NA,778,32993,188,683,2489,2017,57523,NA,1905,85661,9105
POLK,3418,2,56,4622,4762,6903,5846,111,NA,27,513,9,35,121,200,11955,NA,136,10707,2017
RANDOLPH,14919,2,388,40105,20882,40017,35459,820,NA,383,4616,209,181,2020,1272,67615,NA,2192,60448,13656
RICHMOND,11134,NA,56,4515,5884,11634,9703,252,NA,85,7068,310,51,365,403,13307,NA,269,18299,3021
ROBESON,33317,1,119,6799,12283,29424,22791,304,NA,174,14566,18111,312,1339,991,17026,NA,916,49150,2453
ROCKINGHAM,17936,2,168,17763,13213,26708,22374,NA,NA,114,9520,86,152,598,1281,37331,NA,653,41418,7011
ROWAN,19138,NA,300,28922,20950,36831,31657,822,NA,329,11585,126,294,1247,1402,54327,NA,1324,58143,9843
RUTHERFORD,11217,NA,175,14327,10901,19253,16493,874,NA,82,3404,53,94,438,1121,31428,NA,464,30474,5682
SAMPSON,12457,NA,82,11824,5853,16552,13375,289,NA,66,8746,429,112,1195,611,19057,NA,1287,26019,2910
SCOTLAND,9294,NA,37,2817,4505,9262,7068,323,NA,99,6618,1114,62,134,475,8151,NA,127,12350,4176
STANLY,9052,1,116,16208,9930,18296,16174,837,NA,256,3603,65,56,331,1123,29873,NA,262,31043,4002
STOKES,5156,2,110,11462,6380,12143,10920,47,NA,28,934,39,80,180,484,21365,NA,208,19349,3553
SURRY,10917,1,97,16817,10329,20122,17411,628,NA,66,1364,46,75,676,1157,34777,NA,905,31875,5381
SWAIN,2912,NA,24,2045,2603,4023,3547,14,NA,12,66,1141,19,56,77,6213,NA,40,7348,196
TRANSYLVANIA,5591,NA,83,7150,8872,11479,9791,426,NA,48,695,36,72,182,539,20124,NA,137,17996,3563
TYRRELL,1057,NA,6,299,570,1032,882,18,NA,15,571,5,3,32,27,1279,NA,27,1411,494
UNION,29650,NA,496,51532,39347,63188,55911,1926,NA,1865,14383,297,649,4167,3459,96205,NA,4357,99501,17167
VANCE,15509,1,52,3493,4418,13132,9967,374,NA,57,12143,37,102,368,520,10246,NA,379,19859,3235
WAKE,215194,29,3545,141104,205109,292461,249279,23241,NA,17051,109565,1349,4908,22051,32849,377208,NA,18267,411286,135428
WARREN,7393,NA,23,1465,1818,5787,4788,124,NA,15,5570,479,38,104,154,4339,NA,41,7637,3021
WASHINGTON,4776,NA,15,921,1404,3968,3050,98,NA,16,3465,7,17,40,235,3336,NA,40,6049,1027
WATAUGA,9844,2,373,11562,14862,19430,16773,440,NA,274,760,53,403,517,713,33923,NA,835,30511,5297
WAYNE,25471,NA,236,19948,13761,31916,25837,1662,1,320,19449,102,261,1558,2146,35580,NA,1510,44863,13043
WILKES,7793,1,113,19108,8577,18573,16566,453,NA,55,1315,38,103,323,393,33365,NA,511,31650,3431
WILSON,23240,1,123,11262,10108,24888,18962,884,NA,139,18126,69,139,1091,1314,23856,NA,889,34755,9090
YADKIN,2639,NA,59,9565,4991,8915,8064,275,NA,42,520,22,43,370,310,15947,NA,517,14607,2130
YANCEY,4331,NA,41,4323,3307,6153,5666,183,NA,24,69,16,20,46,176,11651,NA,60,10042,1900
