County,ncomm,new,nrep,ndem,nother,nfemale,nwhite,nafam,namin,nother_race,Year
Warren,5,2,0,5,0,2,0,4,1,0,2014
Washington,5,0,0,5,0,1,3,2,0,0,2014
Watauga,5,1,3,2,0,0,5,0,0,0,2014
Wayne,7,0,5,2,0,0,5,2,0,0,2014
Wilkes,5,1,5,0,0,0,5,0,0,0,2014
Wilson,7,1,3,4,0,1,4,3,0,0,2014
Yadkin,5,0,5,0,0,0,5,0,0,0,2014
Yancey,5,1,2,3,0,1,5,0,0,0,2014
Alamance,5,3,3,2,0,1,5,0,0,0,2016
Alexander,5,1,5,0,0,0,5,0,0,0,2016
Alleghany,5,2,4,1,0,0,5,0,0,0,2016
Anson,7,0,0,7,0,2,3,4,0,0,2016
Ashe,5,1,5,0,0,1,5,0,0,0,2016
Avery,5,2,5,0,0,2,5,0,0,0,2016
Beaufort,7,1,5,2,0,0,5,2,0,0,2016
Bertie,5,0,0,3,2,2,3,2,0,0,2016
Bladen,9,4,3,6,0,2,6,3,0,0,2016
Brunswick,5,1,5,0,0,1,5,0,0,0,2016
Buncombe,7,3,3,4,0,2,6,1,0,0,2016
Burke,5,1,5,0,0,0,5,0,0,0,2016
Cabarrus,5,0,5,0,0,3,5,0,0,0,2016
Caldwell,5,1,5,0,0,0,5,0,0,0,2016
Camden,5,2,5,0,0,0,5,0,0,0,2016
Carteret,7,2,7,0,0,0,7,0,0,0,2016
Caswell,7,2,1,6,0,0,5,2,0,0,2016
Catawba,5,0,5,0,0,3,5,0,0,0,2016
Chatham,5,1,1,4,0,2,4,1,0,0,2016
Cherokee,5,0,5,0,0,0,5,0,0,0,2016
Chowan,7,3,2,5,0,1,5,2,0,0,2016
Clay,5,0,5,0,0,0,5,0,0,0,2016
Cleveland,5,0,4,1,0,1,5,0,0,0,2016
Columbus,7,0,0,7,0,0,6,1,0,0,2016
Craven,7,0,4,3,0,0,5,2,0,0,2016
Cumberland,7,1,1,6,0,1,4,3,0,0,2016
Currituck,7,3,7,0,0,2,7,0,0,0,2016
Dare,7,2,6,1,0,2,7,0,0,0,2016
Davidson,7,1,7,0,0,0,7,0,0,0,2016
Davie,5,0,5,0,0,0,5,0,0,0,2016
Duplin,5,2,2,3,0,1,3,2,0,0,2016
Durham,5,2,0,5,0,4,3,2,0,0,2016
Edgecombe,7,0,0,7,0,2,3,4,0,0,2016
Forsyth,7,0,4,3,0,1,5,2,0,0,2016
Franklin,7,2,3,4,0,1,5,2,0,0,2016
Gaston,7,3,7,0,0,0,7,0,0,0,2016
Gates,5,0,0,5,0,1,4,1,0,0,2016
Graham,5,1,4,1,0,1,5,0,0,0,2016
Granville,7,2,3,4,0,1,5,2,0,0,2016
Greene,5,1,0,5,0,1,3,2,0,0,2016
Guilford,9,0,5,4,0,3,6,3,0,0,2016
Halifax,6,1,0,5,1,2,3,3,0,0,2016
Harnett,5,1,4,1,0,1,4,1,0,0,2016
Haywood,5,1,2,3,0,0,5,0,0,0,2016
Henderson,5,0,5,0,0,0,5,0,0,0,2016
Hertford,5,1,0,5,0,0,1,4,0,0,2016
Hoke,5,0,0,5,0,0,1,3,1,0,2016
Hyde,5,1,2,3,0,0,5,0,0,0,2016
Iredell,5,2,5,0,0,0,4,1,0,0,2016
Jackson,5,2,3,2,0,0,5,0,0,0,2016
Johnston,7,2,7,0,0,1,7,0,0,0,2016
Jones,5,0,1,4,0,1,5,0,0,0,2016
Lee,7,2,2,5,0,1,6,1,0,0,2016
Lenoir,7,0,1,5,1,2,5,2,0,0,2016
Lincoln,5,2,5,0,0,1,5,0,0,0,2016
Macon,5,1,4,1,0,0,5,0,0,0,2016
Madison,5,0,2,3,0,0,5,0,0,0,2016
Martin,5,0,1,4,0,0,3,2,0,0,2016
McDowell,5,1,5,0,0,0,5,0,0,0,2016
Mecklenburg,9,0,3,6,0,3,5,4,0,0,2016
Mitchell,5,2,5,0,0,0,5,0,0,0,2016
Montgomery,5,1,2,3,0,0,5,0,0,0,2016
Moore,5,2,5,0,0,1,5,0,0,0,2016
Nash,7,1,4,3,0,3,5,2,0,0,2016
New Hanover,5,1,3,2,0,1,4,1,0,0,2016
Northampton,5,2,0,5,0,2,0,5,0,0,2016
Onslow,5,3,5,0,0,0,5,0,0,0,2016
Orange,7,1,0,7,0,3,6,1,0,0,2016
Pamlico,7,1,4,3,0,3,6,1,0,0,2016
Pasquotank,7,0,1,6,0,1,5,2,0,0,2016
Pender,5,1,5,0,0,1,5,0,0,0,2016
Perquimans,6,2,2,4,0,1,4,2,0,0,2016
Person,5,1,3,2,0,0,4,1,0,0,2016
Pitt,9,0,4,5,0,2,6,3,0,0,2016
Polk,5,3,4,1,0,0,5,0,0,0,2016
Randolph,5,2,5,0,0,0,5,0,0,0,2016
Richmond,7,0,1,5,1,0,7,0,0,0,2016
Robeson,8,0,1,7,0,0,3,2,3,0,2016
Rockingham,5,2,5,0,0,0,5,0,0,0,2016
Rowan,5,0,5,0,0,1,5,0,0,0,2016
Rutherford,5,0,4,1,0,0,5,0,0,0,2016
Sampson,5,1,3,2,0,1,3,2,0,0,2016
Scotland,7,0,0,7,0,2,4,3,0,0,2016
Stanly,7,2,7,0,0,1,7,0,0,0,2016
Stokes,5,1,5,0,0,1,5,0,0,0,2016
Surry,5,0,5,0,0,0,5,0,0,0,2016
Swain,5,1,1,4,0,0,4,0,1,0,2016
Transylvania,5,0,5,0,0,1,5,0,0,0,2016
Tyrrell,5,1,1,4,0,1,4,1,0,0,2016
Union,5,0,5,0,0,0,5,0,0,0,2016
Vance,7,2,2,5,0,2,3,4,0,0,2016
Wake,7,2,0,7,0,1,5,2,0,0,2016
Warren,5,1,0,5,0,1,0,5,0,0,2016
Washington,5,1,0,5,0,2,2,3,0,0,2016
Watauga,5,1,2,3,0,0,5,0,0,0,2016
Wayne,7,0,5,2,0,0,5,2,0,0,2016
Wilkes,5,0,5,0,0,0,5,0,0,0,2016
Wilson,7,0,3,4,0,2,4,3,0,0,2016
Yadkin,5,0,5,0,0,0,5,0,0,0,2016
Yancey,5,2,2,3,0,1,5,0,0,0,2016
Alamance,5,1,5,0,0,1,5,0,0,0,2018
Alexander,5,2,5,0,0,0,5,0,0,0,2018
Alleghany,5,1,4,1,0,0,5,0,0,0,2018
Anson,7,1,0,7,0,1,2,5,0,0,2018
Ashe,5,1,5,0,0,1,5,0,0,0,2018
Avery,5,1,5,0,0,1,5,0,0,0,2018
Beaufort,7,1,5,2,0,0,5,2,0,0,2018
Bertie,5,1,0,4,1,2,3,2,0,0,2018
Bladen,9,0,4,5,0,2,6,3,0,0,2018
Brunswick,5,0,5,0,0,1,5,0,0,0,2018
Buncombe,7,1,3,4,0,2,6,1,0,0,2018
Burke,5,0,5,0,0,0,5,0,0,0,2018
Cabarrus,5,0,5,0,0,2,5,0,0,0,2018
Caldwell,5,0,5,0,0,0,5,0,0,0,2018
Camden,5,0,5,0,0,0,5,0,0,0,2018
Carteret,7,0,7,0,0,0,7,0,0,0,2018
Caswell,7,1,3,4,0,0,5,2,0,0,2018
Catawba,5,0,5,0,0,3,5,0,0,0,2018
Chatham,5,0,1,4,0,2,4,1,0,0,2018
Cherokee,5,0,5,0,0,0,5,0,0,0,2018
Chowan,7,2,3,3,1,1,5,2,0,0,2018
Clay,5,2,5,0,0,0,5,0,0,0,2018
Cleveland,5,1,5,0,0,2,5,0,0,0,2018
Columbus,7,1,0,7,0,0,6,1,0,0,2018
Craven,7,2,4,3,0,0,5,2,0,0,2018
Cumberland,7,0,1,6,0,1,4,3,0,0,2018
Currituck,7,2,6,0,0,1,6,0,0,0,2018
Dare,7,1,5,2,0,0,7,0,0,0,2018
Davidson,7,2,6,0,0,1,6,0,0,0,2018
Davie,5,2,5,0,0,1,5,0,0,0,2018
Duplin,5,0,3,2,0,1,3,2,0,0,2018
Durham,5,0,0,5,0,4,3,2,0,0,2018
Edgecombe,7,0,0,7,0,2,3,4,0,0,2018
Forsyth,7,1,4,3,0,2,5,2,0,0,2018
Franklin,7,0,3,4,0,1,5,2,0,0,2018
Gaston,7,0,7,0,0,0,7,0,0,0,2018
Gates,5,1,0,5,0,1,4,1,0,0,2018
Graham,5,1,4,1,0,1,5,0,0,0,2018
Granville,7,0,3,4,0,1,5,2,0,0,2018
Greene,5,0,0,4,1,1,3,2,0,0,2018
Guilford,9,0,5,4,0,3,6,3,0,0,2018
Halifax,6,0,0,5,1,2,3,3,0,0,2018
Harnett,5,0,4,1,0,1,4,1,0,0,2018
Haywood,5,2,4,1,0,0,5,0,0,0,2018
Henderson,5,1,5,0,0,1,5,0,0,0,2018
Hertford,5,2,0,5,0,0,0,5,0,0,2018
Hoke,5,0,0,5,0,0,1,3,1,0,2018
Hyde,5,2,2,2,1,0,4,1,0,0,2018
Iredell,5,0,5,0,0,0,4,1,0,0,2018
Jackson,5,1,2,3,0,1,5,0,0,0,2018
Johnston,7,3,7,0,0,0,7,0,0,0,2018
Jones,7,4,3,4,0,2,5,2,0,0,2018
Lee,7,2,3,4,0,2,6,1,0,0,2018
Lenoir,7,0,2,5,0,1,5,2,0,0,2018
Lincoln,5,2,5,0,0,1,5,0,0,0,2018
Macon,5,0,4,1,0,0,5,0,0,0,2018
Madison,5,2,1,4,0,0,5,0,0,0,2018
Martin,5,0,1,4,0,0,3,2,0,0,2018
McDowell,5,0,5,0,0,1,5,0,0,0,2018
Mecklenburg,9,4,0,9,0,6,4,5,0,0,2018
Mitchell,5,2,5,0,0,0,5,0,0,0,2018
Montgomery,5,1,2,3,0,1,4,1,0,0,2018
Moore,5,0,5,0,0,1,5,0,0,0,2018
Nash,7,0,3,3,0,2,4,2,0,0,2018
New Hanover,5,1,2,3,0,2,4,1,0,0,2018
Northampton,5,3,0,5,0,3,0,5,0,0,2018
Onslow,7,2,7,0,0,0,7,0,0,0,2018
Orange,7,2,0,7,0,4,5,2,0,0,2018
Pamlico,7,1,5,2,0,3,6,1,0,0,2018
Pasquotank,7,2,3,4,0,0,5,2,0,0,2018
Pender,5,0,5,0,0,0,5,0,0,0,2018
Perquimans,6,1,2,3,1,1,4,2,0,0,2018
Person,5,1,3,2,0,0,4,1,0,0,2018
Pitt,9,3,3,6,0,3,6,3,0,0,2018
Polk,5,1,4,1,0,0,5,0,0,0,2018
Randolph,5,0,5,0,0,0,5,0,0,0,2018
Richmond,7,2,1,5,1,0,6,1,0,0,2018
Robeson,8,1,1,6,0,1,4,1,2,0,2018
Rockingham,5,1,5,0,0,0,5,0,0,0,2018
Rowan,5,0,5,0,0,1,5,0,0,0,2018
Rutherford,5,0,4,1,0,0,5,0,0,0,2018
Sampson,5,0,3,2,0,1,3,2,0,0,2018
Scotland,7,1,1,6,0,2,4,3,0,0,2018
Stanly,7,4,7,0,0,0,7,0,0,0,2018
Stokes,5,3,5,0,0,0,5,0,0,0,2018
Surry,5,2,5,0,0,0,5,0,0,0,2018
Swain,5,1,2,3,0,0,4,0,1,0,2018
Transylvania,5,2,5,0,0,1,5,0,0,0,2018
Tyrrell,5,1,2,3,0,0,5,0,0,0,2018
Union,5,1,5,0,0,0,5,0,0,0,2018
Vance,7,0,2,5,0,2,3,4,0,0,2018
Wake,7,2,0,7,0,3,5,2,0,0,2018
Warren,5,0,0,5,0,2,0,5,0,0,2018
Washington,5,0,0,5,0,2,2,3,0,0,2018
Watauga,5,1,1,4,0,0,5,0,0,0,2018
Wayne,7,0,5,2,0,0,5,2,0,0,2018
Wilkes,5,0,5,0,0,0,5,0,0,0,2018
Wilson,7,0,3,4,0,2,4,3,0,0,2018
Yadkin,5,0,5,0,0,0,5,0,0,0,2018
Yancey,5,1,3,2,0,1,5,0,0,0,2018
