"COUNTY","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","NA_MALE","NA_FEMALE","TOM_MALE","TOM_FEMALE","WAC_MALE","WAC_FEMALE","BAC_MALE","BAC_FEMALE","IAC_MALE","IAC_FEMALE","AAC_MALE","AAC_FEMALE","NAC_MALE","NAC_FEMALE","NH_MALE","NH_FEMALE","NHWA_MALE","NHWA_FEMALE","NHBA_MALE","NHBA_FEMALE","NHIA_MALE","NHIA_FEMALE","NHAA_MALE","NHAA_FEMALE","NHNA_MALE","NHNA_FEMALE","NHTOM_MALE","NHTOM_FEMALE","NHWAC_MALE","NHWAC_FEMALE","NHBAC_MALE","NHBAC_FEMALE","NHIAC_MALE","NHIAC_FEMALE","NHAAC_MALE","NHAAC_FEMALE","NHNAC_MALE","NHNAC_FEMALE","H_MALE","H_FEMALE","HWA_MALE","HWA_FEMALE","HBA_MALE","HBA_FEMALE","HIA_MALE","HIA_FEMALE","HAA_MALE","HAA_FEMALE","HNA_MALE","HNA_FEMALE","HTOM_MALE","HTOM_FEMALE","HWAC_MALE","HWAC_FEMALE","HBAC_MALE","HBAC_FEMALE","HIAC_MALE","HIAC_FEMALE","HAAC_MALE","HAAC_FEMALE","HNAC_MALE","HNAC_FEMALE"
167,47341,23371,23970,20098,20770,2581,2517,97,92,409,385,54,42,132,163,20214,20916,2636,2604,168,165,427,410,62,49,22578,23430,19448,20319,2529,2494,86,84,399,375,3,4,113,154,19550,20457,2576,2575,146,154,412,398,8,10,793,540,650,451,52,23,11,8,10,10,51,38,19,9,664,458,60,29,22,11,15,12,54,39
169,37166,17960,19206,16900,18146,792,775,94,68,42,73,1,3,131,140,17019,18272,838,830,180,154,52,87,2,7,17517,18850,16512,17832,780,754,62,55,39,73,0,3,123,132,16625,17951,824,804,141,140,49,85,1,6,444,356,388,314,12,21,32,12,3,0,1,0,7,8,394,321,14,26,39,15,3,2,1,1
171,56819,27283,29536,25691,27883,1088,1107,148,123,137,186,14,16,204,221,25867,28078,1167,1193,270,249,167,219,22,30,25134,27700,23775,26235,993,1030,71,76,123,169,4,6,168,184,23924,26399,1059,1096,169,186,147,196,9,19,2149,1836,1916,1648,95,77,78,47,14,18,10,10,36,37,1943,1679,108,96,101,63,20,23,13,11
173,10872,5206,5667,3653,3962,52,33,1285,1450,26,35,3,1,187,186,3832,4137,86,72,1432,1598,38,45,5,3,5018,5500,3560,3878,52,30,1209,1381,24,34,3,1,170,175,3725,4044,79,64,1346,1525,34,43,5,2,188,167,93,83,0,3,76,69,2,1,0,0,17,11,108,94,6,8,86,73,4,2,0,1
175,27250,12963,14288,12194,13581,536,415,46,43,56,74,2,6,130,169,12311,13733,581,481,126,142,68,94,7,13,12604,14020,11861,13332,531,410,35,40,56,73,2,5,119,160,11969,13475,574,471,109,136,67,93,5,12,358,268,332,249,5,5,11,3,0,0,0,1,10,9,342,258,7,10,17,6,1,1,2,1
177,3349,1825,1524,998,972,764,495,12,7,39,36,1,0,10,13,1007,983,767,502,17,12,42,39,1,0,1760,1431,946,893,760,488,5,2,39,35,1,0,9,13,954,904,763,495,9,7,42,38,1,0,65,93,52,79,4,7,7,5,0,1,0,0,1,0,53,79,4,7,8,5,0,1,0,0
179,151830,73631,78199,62606,65702,8449,9584,470,412,1356,1648,51,44,700,809,63230,66413,8720,9932,796,781,1527,1850,91,74,66702,71792,56361,59981,8190,9262,233,242,1329,1607,25,30,563,671,56867,60571,8395,9535,486,543,1481,1790,57,56,6930,6407,6245,5721,258,322,236,170,27,42,26,14,137,139,6363,5843,325,396,310,238,46,60,34,18
181,33822,15393,18429,7861,8697,7204,9375,98,104,71,98,2,8,157,146,7975,8816,7285,9460,173,169,107,126,17,16,14486,17644,7172,8133,7090,9265,32,35,68,94,1,7,121,110,7262,8219,7154,9330,86,84,98,116,13,14,907,785,688,565,113,110,65,69,3,3,1,1,36,37,714,597,131,130,87,85,9,9,4,2
183,727368,348203,379165,251351,263933,67290,84172,2722,2561,21665,22346,259,261,4915,5893,255481,268803,69491,87092,4741,5023,23528,24479,508,520,317788,350172,226184,240398,65010,81485,1035,1119,21409,22113,158,161,3991,4897,229515,244400,66717,83832,2597,3126,23020,23997,336,359,30415,28993,25167,23535,2281,2687,1687,1442,256,234,101,99,924,996,25966,24403,2774,3260,2145,1896,508,482,172,161
185,16536,8321,8215,3623,3431,4141,4214,425,446,26,28,3,2,103,94,3697,3496,4196,4271,490,502,41,41,10,4,7998,8033,3404,3310,4094,4181,382,427,24,26,2,2,91,87,3469,3369,4143,4235,439,478,37,38,7,4,323,181,218,121,47,33,43,18,2,2,1,0,12,7,229,127,53,36,51,23,4,2,3,0
187,9969,4578,5391,2428,2653,2051,2647,21,23,13,20,0,0,65,48,2489,2699,2082,2674,56,37,18,27,2,1,4380,5270,2293,2579,2023,2622,5,11,12,20,0,0,47,38,2337,2616,2040,2643,31,22,17,26,2,1,198,121,135,74,28,25,16,12,1,0,0,0,18,9,152,83,41,31,25,15,1,1,0,0
189,42890,21422,21468,20507,20591,406,293,73,69,213,225,7,6,216,284,20698,20847,471,388,201,217,254,299,16,13,20767,20951,19917,20133,386,279,66,52,208,219,7,6,182,262,20079,20371,440,362,171,187,246,289,15,12,655,517,590,458,19,15,7,16,4,6,0,0,34,22,619,477,31,25,30,30,8,10,1,1
191,94472,45673,48799,30550,30784,13571,16260,356,317,490,765,66,42,641,632,31062,31286,13878,16579,631,594,687,959,115,80,41461,45158,27028,27761,13282,15942,152,171,445,733,21,21,532,530,27445,28180,13531,16200,366,399,621,907,61,49,4212,3642,3522,3023,289,319,203,146,45,32,44,20,109,102,3617,3106,346,379,265,195,66,52,54,31
193,54516,26600,27916,24949,26369,1255,1116,91,91,88,127,20,12,196,202,25119,26544,1338,1204,199,204,117,163,34,16,25393,26943,23873,25500,1216,1082,50,55,84,127,10,6,159,173,24009,25650,1277,1155,139,152,108,158,21,11,1206,973,1075,868,39,34,40,37,4,0,10,5,37,29,1110,894,60,49,60,52,8,5,13,5
195,62296,28851,33445,17503,19040,10638,13655,144,139,296,274,23,36,248,300,17699,19276,10758,13811,261,279,354,348,52,57,26334,31368,15339,17268,10431,13468,70,81,282,264,12,30,200,257,15493,17467,10529,13603,162,200,330,328,37,45,2517,2077,2164,1772,207,187,74,58,14,11,11,6,48,43,2206,1809,229,208,99,79,24,20,15,12
197,29712,14450,15262,13757,14563,465,470,87,72,34,48,13,11,93,97,13839,14651,507,510,134,125,45,61,17,14,13251,14246,12665,13633,443,457,30,29,28,41,3,1,82,85,12737,13708,480,493,73,74,37,52,6,4,1198,1016,1092,931,22,13,58,43,6,7,10,10,11,12,1103,943,27,17,61,50,8,9,10,10
199,14217,6873,7344,6671,7166,72,57,51,28,13,24,19,11,46,58,6711,7217,89,81,78,59,16,34,24,12,6608,7150,6472,7015,56,48,24,11,13,24,1,1,41,51,6507,7060,71,70,50,37,16,33,5,2,265,193,200,151,16,9,27,17,0,0,18,10,4,7,204,157,19,11,28,22,0,1,18,10
