"COUNTY","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","NA_MALE","NA_FEMALE","TOM_MALE","TOM_FEMALE","WAC_MALE","WAC_FEMALE","BAC_MALE","BAC_FEMALE","IAC_MALE","IAC_FEMALE","AAC_MALE","AAC_FEMALE","NAC_MALE","NAC_FEMALE","NH_MALE","NH_FEMALE","NHWA_MALE","NHWA_FEMALE","NHBA_MALE","NHBA_FEMALE","NHIA_MALE","NHIA_FEMALE","NHAA_MALE","NHAA_FEMALE","NHNA_MALE","NHNA_FEMALE","NHTOM_MALE","NHTOM_FEMALE","NHWAC_MALE","NHWAC_FEMALE","NHBAC_MALE","NHBAC_FEMALE","NHIAC_MALE","NHIAC_FEMALE","NHAAC_MALE","NHAAC_FEMALE","NHNAC_MALE","NHNAC_FEMALE","H_MALE","H_FEMALE","HWA_MALE","HWA_FEMALE","HBA_MALE","HBA_FEMALE","HIA_MALE","HIA_FEMALE","HAA_MALE","HAA_FEMALE","HNA_MALE","HNA_FEMALE","HTOM_MALE","HTOM_FEMALE","HWAC_MALE","HWAC_FEMALE","HBAC_MALE","HBAC_FEMALE","HIAC_MALE","HIAC_FEMALE","HAAC_MALE","HAAC_FEMALE","HNAC_MALE","HNAC_FEMALE"
83,41693,19587,22106,8505,9141,10031,11833,780,779,125,163,9,10,138,180,8609,9258,10098,11941,847,883,155,202,24,21,19136,21760,8228,8918,9940,11758,725,752,117,153,2,5,124,173,8319,9031,10001,11861,787,853,143,190,16,16,452,346,276,223,91,75,55,27,8,10,7,5,14,6,289,227,97,79,60,30,11,11,8,5
85,90722,44211,46511,33039,34072,9277,10055,681,694,378,724,80,73,757,892,33665,34779,9636,10535,1037,1135,576,950,124,121,39652,42664,29343,30968,8958,9741,353,450,320,689,61,57,617,760,29847,31559,9249,10137,636,820,495,897,97,98,4559,3847,3696,3105,319,314,327,244,57,35,19,16,140,133,3818,3220,387,398,401,315,81,53,27,23
87,48256,22884,25372,22233,24644,264,247,129,124,76,112,8,8,174,237,22394,24849,306,310,250,296,99,141,15,16,22187,24822,21597,24138,259,244,104,108,69,109,5,5,153,218,21740,24327,293,298,212,271,89,137,12,12,697,550,636,507,5,3,25,15,7,3,3,3,21,19,654,522,13,13,38,25,10,4,3,4
89,87790,41619,46171,39193,43541,1255,1313,268,234,387,553,69,60,446,471,39595,43944,1401,1478,545,523,462,630,85,88,38080,43291,35924,40862,1194,1265,144,149,373,540,52,52,393,423,36280,41228,1315,1408,390,409,442,612,67,76,3540,2880,3268,2679,61,48,125,85,15,13,17,8,54,47,3316,2716,86,71,156,114,19,18,18,12
91,19284,9379,9906,3811,3592,5301,6011,123,131,69,55,5,3,70,114,3865,3671,5339,6070,154,201,84,81,12,7,8959,9745,3498,3497,5241,5977,95,115,57,48,0,2,68,107,3550,3569,5278,6033,126,180,71,74,7,6,420,160,313,95,60,35,28,16,12,7,5,1,1,7,315,102,61,37,28,21,12,7,5,1
93,36423,17741,18683,9447,9249,6061,6718,1544,1802,190,366,71,62,428,486,9786,9609,6260,6974,1771,2065,296,483,105,96,15866,16901,8020,7872,5883,6516,1404,1712,166,345,42,43,351,413,8292,8171,6050,6732,1588,1937,261,449,73,72,1874,1782,1427,1377,178,202,141,90,23,21,28,19,77,72,1494,1438,211,242,182,127,35,33,32,24
95,4722,2642,2080,1642,1495,939,538,24,8,8,19,0,1,28,18,1668,1510,952,547,36,19,13,21,2,1,2493,1965,1512,1388,935,535,17,4,7,19,0,1,21,17,1532,1403,945,543,24,14,11,21,1,1,149,115,129,107,4,3,7,4,1,0,0,0,7,0,136,107,7,3,12,5,2,0,0,0
97,125479,61046,64434,52014,54126,6669,7924,321,298,1449,1417,44,35,550,634,52495,54670,6915,8213,572,620,1574,1554,75,65,57293,60893,48718,51026,6502,7738,147,178,1427,1388,28,18,470,545,49133,51493,6708,7981,361,455,1539,1515,53,40,3753,3540,3296,3100,167,186,174,120,22,28,16,17,79,89,3362,3178,207,232,211,165,36,39,22,25
99,32749,15919,16829,13849,14676,371,299,1313,1454,132,154,11,2,243,244,14070,14893,438,371,1481,1624,161,184,18,10,15177,16259,13281,14206,341,290,1205,1385,126,150,9,2,214,226,13477,14407,396,352,1357,1546,152,180,14,10,742,570,568,469,30,9,108,70,6,4,2,0,29,18,593,486,43,19,124,78,9,4,3,0
101,130804,63194,67610,51897,54946,9604,10922,538,506,386,516,67,40,702,679,52500,55516,9912,11236,915,879,531,659,102,80,55787,61540,45448,49650,9218,10585,277,283,324,471,23,13,497,538,45882,50101,9421,10828,539,576,437,593,44,38,7407,6070,6448,5296,386,337,261,223,62,46,44,27,205,140,6619,5415,491,407,376,303,94,66,58,42
