County	 AmInd 	AmIndPct	 Asian 	AsianPct	 Black 	BlackPct	 Other 	OtherPct	 White 	WhitePct	 Total 
"Jones"	 95 	0.9	 41 	0.4	 3030 	29.3	 274 	2.6	 6914 	66.8	 10354 
"Lee"	 929 	1.6	 736 	1.2	 11972 	20.2	 1516 	2.6	 44091 	74.4	 59244 
"Lenoir"	 472 	0.8	 462 	0.8	 23810 	41.3	 836 	1.5	 32007 	55.6	 57587 
"Lincoln"	 349 	0.4	 591 	0.7	 4381 	5.3	 1191 	1.5	 75521 	92.1	 82033 
"Macon"	 290 	0.8	 297 	0.8	 555 	1.6	 419 	1.2	 33486 	95.5	 35047 
"Madison"	 64 	0.3	 109 	0.5	 293 	1.3	 354 	1.6	 21159 	96.3	 21979 
"Martin"	 115 	0.5	 119 	0.5	 10192 	43.2	 240 	1	 12940 	54.8	 23606 
"McDowell"	 423 	0.9	 408 	0.9	 1769 	3.9	 629 	1.4	 42281 	92.9	 45510 
"Mecklenburg"	 9803 	0.9	 57197 	5.4	 348266 	33.1	 26872 	2.6	 611407 	58	 1053545 
"Mitchell"	 154 	1	 84 	0.6	 70 	0.5	 215 	1.4	 14743 	96.6	 15266 
"Montgomery"	 257 	0.9	 444 	1.6	 4998 	18	 393 	1.4	 21676 	78.1	 27768 
"Moore"	 964 	1	 1376 	1.4	 12346 	12.8	 1843 	1.9	 79573 	82.8	 96102 
"Nash"	 1066 	1.1	 1043 	1.1	 37470 	39.7	 1789 	1.9	 53053 	56.2	 94421 
"New Hanover"	 1634 	0.7	 3511 	1.6	 31377 	14	 5048 	2.3	 182038 	81.4	 223608 
"Northampton"	 131 	0.6	 59 	0.3	 12147 	58.4	 235 	1.1	 8216 	39.5	 20788 
"Onslow"	 1578 	0.8	 4789 	2.5	 27742 	14.3	 8672 	4.5	 151133 	77.9	 193914 
"Orange"	 1059 	0.8	 11757 	8.3	 15528 	11	 3822 	2.7	 108687 	77.2	 140853 
"Pamlico"	 91 	0.7	 64 	0.5	 2482 	18.6	 202 	1.5	 10497 	78.7	 13336 
"Pasquotank"	 208 	0.5	 606 	1.5	 15924 	39.5	 1003 	2.5	 22543 	56	 40284 
"Pender"	 623 	1	 399 	0.7	 9154 	15.4	 1326 	2.2	 47957 	80.7	 59459 
"Perquimans"	 54 	0.4	 68 	0.5	 3352 	24.7	 201 	1.5	 9886 	72.9	 13561 
"Person"	 343 	0.9	 181 	0.5	 10335 	26	 672 	1.7	 28197 	71	 39728 
"Pitt"	 1032 	0.6	 3653 	2.1	 60909 	34.6	 3838 	2.2	 106453 	60.5	 175885 
"Polk"	 123 	0.6	 127 	0.6	 866 	4.1	 343 	1.6	 19571 	93.1	 21030 
"Randolph"	 1946 	1.4	 1946 	1.4	 8805 	6.1	 2501 	1.7	 128513 	89.4	 143711 
"Richmond"	 1707 	3.8	 569 	1.3	 13888 	30.9	 1111 	2.5	 27637 	61.5	 44912 
"Robeson"	 52920 	39.9	 1572 	1.2	 32082 	24.2	 3954 	3	 42129 	31.8	 132657 
