County	New	Repub.	Dem.	Other	No. of Comm.	Female	African American	Native American	Other
Alamance	2 	2 	3 	0 	5 	1 	0 	0 	
Alexander	1 	4 	1 	0 	5 	0 	0 	0 	
Alleghany	1 	1 	4 	0 	5 	1 	0 	0 	
Anson	0 	0 	7 	0 	7 	1 	4 	0 	
Ashe	1 	3 	2 	0 	5 	1 	0 	0 	
Avery	2 	5 	0 	0 	5 	2 	0 	0 	
Beaufort	0 	4 	3 	0 	7 	0 	2 	0 	
Bertie	1 	0 	5 	0 	5 	0 	3 	0 	
Bladen	2 	1 	8 	0 	9 	2 	3 	0 	
Brunswick	2 	5 	0 	0 	5 	0 	1 	0 	
Buncombe	2 	0 	5 	0 	5 	2 	0 	0 	
Burke	3 	2 	3 	0 	5 	1 	1 	0 	
Cabarrus	1 	5 	0 	0 	5 	2 	0 	0 	
Caldwell	3 	3 	2 	0 	5 	0 	0 	0 	
Camden	2 	3 	2 	0 	5 	1 	0 	0 	
Carteret	1 	6 	1 	0 	7 	0 	0 	0 	
Caswell	2 	0 	7 	0 	7 	0 	3 	0 	
Catawba	0 	5 	0 	0 	5 	3 	0 	0 	
Chatham	1 	0 	5 	0 	5 	1 	1 	0 	
Cherokee	2 	1 	2 	0 	3 	0 	0 	0 	
Chowan	3 	2 	5 	0 	7 	0 	2 	0 	
Clay	2 	1 	2 	0 	3 	0 	0 	0 	
Cleveland	0 	2 	3 	0 	5 	2 	1 	0 	
Columbus	2 	0 	7 	0 	7 	0 	1 	1 	
Craven	0 	3 	4 	0 	7 	1 	2 	1 	
Cumberland	2 	0 	7 	0 	7 	1 	2 	0 	
Currituck	2 	4 	3 	0 	7 	1 	0 	0 	
Dare	0 	3 	4 	0 	7 	1 	1 	0 	
Davidson	1 	6 	1 	0 	7 	1 	0 	0 	
Davie	1 	4 	1 	0 	5 	0 	0 	0 	
Duplin	1 	1 	4 	1 	6 	2 	2 	0 	
Durham	2 	0 	5 	0 	5 	3 	3 	0 	
Edgecombe	1 	0 	7 	0 	7 	2 	4 	0 	
Forsyth	0 	4 	3 	0 	7 	2 	2 	0 	
Franklin	1 	3 	4 	0 	7 	1 	1 	0 	
Gaston	0 	7 	0 	0 	7 	1 	1 	0 	
Gates	2 	0 	5 	0 	5 	0 	1 	0 	
Graham	5 	3 	2 	0 	5 	1 	0 	0 	
Granville	0 	0 	7 	0 	7 	0 	3 	0 	
Greene	1 	0 	5 	0 	5 	0 	1 	0 	
Guilford	0 	4 	7 	0 	11 	3 	3 	0 	
Halifax	0 	1 	5 	0 	6 	2 	3 	0 	
Harnett	1 	3 	2 	0 	5 	1 	1 	0 	
Haywood	0 	1 	4 	0 	5 	0 	0 	0 	
Henderson	0 	5 	0 	0 	5 	0 	0 	0 	
Hertford	1 	0 	5 	0 	5 	0 	4 	0 	
Hoke	0 	0 	5 	0 	5 	2 	2 	1 	
Hyde	2 	1 	4 	0 	5 	1 	0 	0 	
Iredell	0 	5 	0 	0 	5 	0 	1 	0 	
Jackson	0 	0 	5 	0 	5 	0 	0 	0 	
Johnston	0 	7 	0 	0 	7 	1 	0 	0 	
Jones	0 	1 	4 	0 	5 	1 	0 	0 	
Lee	3 	2 	5 	0 	7 	2 	1 	0 	
Lenoir	3 	2 	5 	0 	7 	2 	2 	0 	
Lincoln	1 	5 	0 	0 	5 	0 	0 	0 	
Macon	1 	2 	3 	0 	5 	0 	0 	0 	
Madison	2 	1 	4 	0 	5 	1 	0 	0 	
Martin	0 	0 	4 	1 	5 	0 	1 	0 	
McDowell	0 	4 	1 	0 	5 	0 	0 	0 	
Mecklenburg	5 	3 	6 	0 	9 	3 	3 	0 	
Mitchell	3 	5 	0 	0 	5 	1 	0 	0 	
Montgomery	3 	1 	4 	0 	5 	0 	1 	0 	
Moore	1 	5 	0 	0 	5 	1 	0 	0 	
Nash	1 	3 	4 	0 	7 	1 	2 	0 	
New Hanover	1 	4 	1 	0 	5 	0 	1 	0 	
Northampton	0 	0 	5 	0 	5 	2 	4 	0 	
Onslow	2 	5 	0 	0 	5 	1 	0 	0 	
Orange	3 	0 	7 	0 	7 	4 	1 	0 	
Pamlico	1 	2 	5 	0 	7 	2 	1 	0 	
Pasquotank	0 	0 	7 	0 	7 	0 	2 	0 	
Pender	0 	2 	3 	0 	5 	0 	1 	0 	
Perquimans	0 	2 	4 	0 	6 	3 	2 	0 	
Person	2 	2 	3 	0 	5 	0 	2 	0 	
Pitt	1 	1 	8 	0 	9 	1 	2 	0 	
Polk	3 	0 	4 	1 	5 	2 	0 	0 	
Randolph	0 	5 	0 	0 	5 	0 	0 	0 	
Richmond	1 	0 	7 	0 	7 	2 	1 	0 	
Robeson	1 	0 	8 	0 	8 	0 	2 	3 	
Rockingham	2 	0 	5 	0 	5 	1 	1 	0 	
Rowan	2 	4 	1 	0 	5 	1 	0 	0 	
Rutherford	2 	1 	4 	0 	5 	2 	0 	0 	
Sampson	1 	3 	2 	0 	5 	0 	2 	0 	
Scotland	1 	0 	7 	0 	7 	2 	5 	0 	
Stanly	1 	4 	1 	0 	5 	1 	0 	0 	
Stokes	0 	4 	1 	0 	5 	0 	0 	0 	
Surry	0 	3 	2 	0 	5 	0 	0 	0 	
Swain	0 	0 	5 	0 	5 	1 	0 	0 	
Transylvania	1 	4 	1 	0 	5 	0 	0 	0 	
Tyrrell	3 	0 	4 	1 	5 	0 	1 	0 	
Union	2 	5 	0 	0 	5 	2 	0 	0 	
Vance	0 	1 	6 	0 	7 	1 	3 	0 	
Wake	1 	3 	4 	0 	7 	2 	2 	0 	
Warren	1 	0 	4 	1 	5 	1 	2 	1 	
Washington	1 	0 	5 	0 	5 	2 	2 	0 	
Watauga	1 	0 	5 	0 	5 	0 	0 	0 	
Wayne	2 	2 	5 	0 	7 	1 	2 	0 	
Wilkes	1 	4 	1 	0 	5 	0 	1 	0 	
Wilson	0 	2 	5 	0 	7 	2 	3 	0 	
Yadkin	2 	4 	1 	0 	5 	0 	0 	0 	
Yancey	1 	0 	3 	0 	3 	1 	0 	0 	
