GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
0500000US37001,37001,"Alamance County, North Carolina",153713,*****,108337,1114,27645,532,512,175,2013,258,189,238,10320,1159,4697,737,949,448,3748,611
0500000US37003,37003,"Alexander County, North Carolina",37175,*****,33069,308,2334,178,81,80,32,37,14,23,1055,319,590,166,7,13,583,163
0500000US37005,37005,"Alleghany County, North Carolina",10974,*****,10018,164,114,64,198,193,28,45,0,19,453,216,163,89,0,19,163,89
0500000US37007,37007,"Anson County, North Carolina",26309,*****,12710,126,12797,146,94,62,319,23,0,23,137,127,252,116,7,14,245,117
0500000US37009,37009,"Ashe County, North Carolina",27173,*****,25668,189,176,74,103,43,80,36,0,23,829,201,317,103,68,49,249,90
0500000US37011,37011,"Avery County, North Carolina",17739,*****,15441,417,771,196,143,82,162,111,14,22,312,170,896,342,16,27,880,342
0500000US37013,37013,"Beaufort County, North Carolina",47587,*****,32947,572,12350,255,23,25,74,67,50,71,1372,684,771,313,113,87,658,314
0500000US37015,37015,"Bertie County, North Carolina",20677,*****,7474,60,12868,96,124,94,75,44,0,23,15,16,121,72,30,44,91,57
0500000US37017,37017,"Bladen County, North Carolina",34915,*****,20183,559,12325,218,847,163,72,50,0,26,893,385,595,355,116,148,479,310
0500000US37019,37019,"Brunswick County, North Carolina",112907,*****,94649,562,12273,631,419,175,610,150,459,454,2015,580,2482,373,102,64,2380,373
0500000US37021,37021,"Buncombe County, North Carolina",244599,*****,216524,1016,16022,786,761,182,2694,220,123,51,1876,548,6599,823,1390,555,5209,641
0500000US37023,37023,"Burke County, North Carolina",90164,*****,76388,639,5666,375,428,99,3165,110,61,80,2829,629,1627,376,132,73,1495,362
0500000US37025,37025,"Cabarrus County, North Carolina",184855,*****,141025,1309,29712,527,612,228,4281,201,32,34,5719,1297,3474,567,447,199,3027,563
0500000US37027,37027,"Caldwell County, North Carolina",82140,*****,73869,489,4054,267,454,290,476,91,70,69,2044,565,1173,317,169,137,1004,264
0500000US37029,37029,"Camden County, North Carolina",10127,*****,8330,63,1388,102,53,93,222,32,0,19,72,63,62,59,0,19,62,59
0500000US37031,37031,"Carteret County, North Carolina",67851,*****,60283,268,4190,312,416,117,701,115,35,47,868,313,1358,296,72,54,1286,291
0500000US37033,37033,"Caswell County, North Carolina",23357,*****,14624,148,7802,210,61,52,98,87,12,19,352,129,408,196,13,21,395,194
0500000US37035,37035,"Catawba County, North Carolina",154457,*****,126247,912,13244,346,500,154,5541,257,48,68,5885,924,2992,508,400,241,2592,511
0500000US37037,37037,"Chatham County, North Carolina",66050,*****,51924,836,8487,325,290,147,880,119,10,19,3077,795,1382,399,421,273,961,286
0500000US37039,37039,"Cherokee County, North Carolina",27156,*****,25328,154,460,52,560,174,80,74,2,4,208,142,518,152,70,93,448,110
0500000US37041,37041,"Chowan County, North Carolina",14703,*****,9380,59,4834,254,92,127,217,217,2,4,49,52,129,97,0,19,129,97
0500000US37043,37043,"Clay County, North Carolina",10616,*****,10244,142,68,67,13,21,12,21,0,19,212,123,67,62,48,57,19,24
0500000US37045,37045,"Cleveland County, North Carolina",97464,*****,74179,348,20276,303,228,86,941,75,0,29,483,270,1357,279,64,85,1293,265
0500000US37047,37047,"Columbus County, North Carolina",57512,*****,35163,345,17451,177,1832,102,158,92,12,14,2118,459,778,260,24,20,754,260
0500000US37049,37049,"Craven County, North Carolina",104574,*****,73726,683,22425,576,427,135,2187,383,95,84,2332,652,3382,679,148,77,3234,667
0500000US37051,37051,"Cumberland County, North Carolina",324002,*****,168638,1268,117148,1046,3991,380,7584,389,1063,252,8060,927,17518,1265,1326,303,16192,1217
0500000US37053,37053,"Currituck County, North Carolina",24212,*****,21698,157,1589,86,114,81,87,52,0,23,151,95,573,175,70,82,503,171
0500000US37055,37055,"Dare County, North Carolina",34530,*****,31336,359,1013,117,247,233,180,75,0,26,1158,441,596,186,62,48,534,165
0500000US37057,37057,"Davidson County, North Carolina",163545,*****,141608,643,15142,277,648,168,2017,244,73,62,2025,600,2032,418,348,141,1684,401
0500000US37059,37059,"Davie County, North Carolina",41411,*****,36431,452,2779,124,168,73,179,116,31,50,1401,452,422,177,1,3,421,177
0500000US37061,37061,"Duplin County, North Carolina",59455,*****,34990,697,15126,270,66,44,86,63,0,29,8274,783,913,326,276,255,637,274
0500000US37063,37063,"Durham County, North Carolina",282422,*****,142157,1637,105885,717,1126,286,12357,385,114,130,12766,1611,8017,913,1406,456,6611,788
0500000US37065,37065,"Edgecombe County, North Carolina",55779,*****,21639,347,31718,267,145,95,44,44,59,87,1355,387,819,267,20,18,799,267
0500000US37067,37067,"Forsyth County, North Carolina",358130,*****,239125,1657,93612,717,806,192,7393,291,106,180,11069,1432,6019,775,805,255,5214,742
0500000US37069,37069,"Franklin County, North Carolina",61723,*****,41711,413,15922,387,380,95,263,141,0,29,2004,400,1443,366,148,93,1295,360
0500000US37071,37071,"Gaston County, North Carolina",208379,*****,160670,1039,31500,504,764,170,2903,167,14,17,8093,1039,4435,654,534,221,3901,605
