GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
0500000US37001,37001,"Alamance County, North Carolina",156372,*****,110548,1023,29039,579,621,231,2214,173,282,296,9386,961,4282,607,768,291,3514,534
0500000US37003,37003,"Alexander County, North Carolina",37211,*****,33005,280,2142,163,114,119,430,22,35,51,1024,278,461,157,23,20,438,150
0500000US37005,37005,"Alleghany County, North Carolina",10868,*****,9936,191,262,79,170,202,17,32,0,19,403,232,80,50,17,23,63,51
0500000US37007,37007,"Anson County, North Carolina",25883,*****,12423,188,12612,141,86,50,301,22,0,22,168,181,293,137,8,18,285,138
0500000US37009,37009,"Ashe County, North Carolina",26992,*****,25354,246,193,34,92,21,85,38,15,19,831,268,422,128,153,71,269,102
0500000US37011,37011,"Avery County, North Carolina",17633,*****,16209,198,655,113,86,51,85,66,0,19,345,206,253,115,11,16,242,111
0500000US37013,37013,"Beaufort County, North Carolina",47513,*****,33458,560,12331,313,54,49,59,56,48,75,640,550,923,334,160,104,763,329
0500000US37015,37015,"Bertie County, North Carolina",20324,*****,7313,119,12608,50,127,42,113,18,2,4,27,35,134,86,30,48,104,95
0500000US37017,37017,"Bladen County, North Carolina",34454,*****,19831,443,12086,179,817,92,20,24,0,25,1277,390,423,185,148,136,275,129
0500000US37019,37019,"Brunswick County, North Carolina",119167,*****,99521,564,12589,595,506,200,800,116,559,528,2877,596,2315,350,125,107,2190,323
0500000US37021,37021,"Buncombe County, North Carolina",250112,*****,222134,786,15713,724,886,205,2986,326,227,102,1981,684,6185,704,753,335,5432,656
0500000US37023,37023,"Burke County, North Carolina",89082,*****,75155,525,5483,259,459,95,3242,84,23,35,3360,519,1360,298,92,75,1268,287
0500000US37025,37025,"Cabarrus County, North Carolina",192296,*****,142064,1080,32188,664,568,147,5258,234,52,53,8107,1102,4059,631,664,395,3395,496
0500000US37027,37027,"Caldwell County, North Carolina",81623,*****,73059,397,3998,218,442,185,466,110,25,29,2667,414,966,306,183,133,783,263
0500000US37029,37029,"Camden County, North Carolina",10228,*****,8452,48,1450,24,23,26,206,46,0,19,5,11,92,57,0,19,92,57
0500000US37031,37031,"Carteret County, North Carolina",68537,*****,60921,332,4157,267,258,60,817,106,19,30,778,362,1587,212,69,44,1518,197
0500000US37033,37033,"Caswell County, North Carolina",23094,*****,14408,211,7518,281,41,29,133,22,31,34,513,220,450,279,4,9,446,279
0500000US37035,37035,"Catawba County, North Carolina",155461,*****,123873,836,13304,479,443,145,6121,189,0,28,8778,854,2942,578,159,127,2783,548
0500000US37037,37037,"Chatham County, North Carolina",68778,*****,55295,715,8218,356,185,111,975,128,43,46,2317,690,1745,332,225,135,1520,333
0500000US37039,37039,"Cherokee County, North Carolina",27226,*****,25518,150,375,68,398,114,166,37,0,22,205,146,564,117,7,17,557,120
0500000US37041,37041,"Chowan County, North Carolina",14556,*****,9163,128,4889,203,178,156,36,42,2,4,130,136,158,132,0,19,158,132
0500000US37043,37043,"Clay County, North Carolina",10730,*****,10646,74,45,67,0,19,12,18,0,19,9,23,18,24,14,23,4,6
0500000US37045,37045,"Cleveland County, North Carolina",97113,*****,73303,408,20151,276,221,121,975,95,0,28,1034,423,1429,319,38,28,1391,316
0500000US37047,37047,"Columbus County, North Carolina",57015,*****,35133,411,17625,171,2111,211,180,85,17,14,1366,473,583,145,31,26,552,143
0500000US37049,37049,"Craven County, North Carolina",104190,*****,73456,581,22365,548,699,248,2802,237,84,89,2009,594,2775,515,109,64,2666,513
0500000US37051,37051,"Cumberland County, North Carolina",325841,*****,166292,1017,120092,1025,4738,337,7841,408,759,103,7368,792,18751,1114,1348,315,17403,1059
0500000US37053,37053,"Currituck County, North Carolina",24864,*****,22490,135,1550,124,140,46,120,27,0,22,111,78,453,159,28,38,425,159
0500000US37055,37055,"Dare County, North Carolina",35187,*****,32040,391,707,186,94,54,178,61,0,25,1277,431,891,219,68,52,823,220
0500000US37057,37057,"Davidson County, North Carolina",164058,*****,141859,616,14750,419,669,227,2191,194,37,39,1973,599,2579,561,153,105,2426,559
0500000US37059,37059,"Davie County, North Carolina",41568,*****,36842,394,2635,182,21,31,318,48,0,25,1124,381,628,190,23,36,605,185
0500000US37061,37061,"Duplin County, North Carolina",59121,*****,38153,946,14724,228,114,97,181,56,25,40,5008,934,916,283,83,96,833,284
0500000US37063,37063,"Durham County, North Carolina",294618,*****,150067,1560,110777,911,1091,304,13849,358,125,37,10377,1451,8332,1033,1473,442,6859,913
0500000US37065,37065,"Edgecombe County, North Carolina",54669,*****,21006,342,30998,348,216,51,58,51,67,79,1209,380,1115,347,106,101,1009,331
0500000US37067,37067,"Forsyth County, North Carolina",364691,*****,242803,1517,95187,875,780,216,7434,373,333,307,10773,1422,7381,862,1016,354,6365,800
