County	New	Repub.	Dem.	Other	No. of Comm.	Female	African American	Native American	Other
Rockingham	2 	2 	3 	0 	5 	0 	1 	0 	
Rowan	2 	5 	0 	0 	5 	0 	0 	0 	
Rutherford	0 	3 	2 	0 	5 	1 	0 	0 	
Sampson	0 	3 	2 	0 	5 	0 	2 	0 	
Scotland	4 	0 	7 	0 	7 	2 	5 	0 	
Stanly	1 	4 	1 	0 	5 	0 	0 	0 	1 
Stokes	1 	5 	0 	0 	5 	0 	0 	0 	
Surry	0 	3 	2 	0 	5 	0 	0 	0 	
Swain	0 	0 	5 	0 	5 	1 	0 	0 	
Transylvania	2 	5 	0 	0 	5 	0 	0 	0 	
Tyrrell	0 	0 	5 	0 	5 	2 	2 	0 	
Union	2 	5 	0 	0 	5 	0 	0 	0 	
Vance	0 	1 	6 	0 	7 	1 	3 	0 	
Wake	0 	5 	2 	0 	7 	1 	1 	0 	
Warren	1 	0 	5 	0 	5 	1 	3 	0 	1 
Washington	1 	0 	5 	0 	5 	1 	2 	0 	
Watauga	3 	2 	3 	0 	5 	0 	0 	0 	
Wayne	1 	3 	4 	0 	7 	0 	2 	0 	
Wilkes	2 	4 	1 	0 	5 	1 	1 	0 	
Wilson	1 	2 	5 	0 	7 	2 	2 	0 	
Yadkin	3 	5 	0 	0 	5 	1 	0 	0 	
Yancey	2 	0 	3 	0 	3 	0 	0 	0 	
