County	New	Repub.	Dem.	Other	No. of Comm.	Female	African American	Native American	Other
Alamance	1 	5 	0 	0 	5 	0 	0 	0 	
Alexander	1 	5 	0 	0 	5 	0 	0 	0 	
Alleghany	1 	3 	2 	0 	5 	1 	0 	0 	
Anson	1 	0 	7 	0 	7 	0 	2 	0 	
Ashe	2 	4 	1 	0 	5 	1 	0 	0 	
Avery	1 	5 	0 	0 	5 	2 	0 	0 	
Beaufort	1 	4 	3 	0 	7 	0 	2 	0 	
Bertie	0 	0 	5 	0 	5 	0 	2 	0 	
Bladen	0 	1 	8 	0 	9 	2 	3 	0 	
Brunswick	0 	3 	2 	0 	5 	1 	0 	0 	
Buncombe	1 	1 	4 	0 	5 	1 	0 	0 	
Burke	2 	4 	1 	0 	5 	1 	0 	0 	
Cabarrus	1 	5 	0 	0 	5 	2 	1 	0 	
Caldwell	1 	5 	0 	0 	5 	1 	0 	0 	
Camden	2 	3 	2 	0 	5 	1 	0 	0 	
Carteret	3 	7 	0 	0 	7 	1 	0 	0 	
Caswell	2 	0 	7 	0 	7 	0 	2 	0 	
Catawba	0 	5 	0 	0 	5 	3 	0 	0 	
Chatham	2 	0 	5 	0 	5 	0 	0 	0 	
Cherokee	0 	3 	0 	0 	3 	1 	0 	1 	
Chowan	1 	1 	6 	0 	7 	0 	2 	0 	
Clay	0 	2 	1 	0 	3 	0 	0 	0 	
Cleveland	1 	3 	2 	0 	5 	1 	2 	0 	
Columbus	1 	0 	7 	0 	7 	0 	1 	1 	
Craven	0 	3 	4 	0 	7 	1 	2 	1 	
Cumberland	1 	1 	6 	0 	7 	2 	2 	0 	
Currituck	1 	3 	2 	0 	5 	0 	0 	0 	
Dare	2 	3 	4 	0 	7 	2 	1 	0 	
Davidson	2 	6 	1 	0 	7 	1 	0 	0 	
Davie	2 	5 	0 	0 	5 	0 	0 	0 	
Duplin	1 	0 	6 	0 	6 	1 	2 	0 	
Durham	2 	0 	5 	0 	5 	2 	2 	0 	
Edgecombe	0 	0 	7 	0 	7 	1 	4 	0 	
Forsyth	1 	5 	2 	0 	7 	2 	2 	0 	
Franklin	3 	2 	5 	0 	7 	0 	1 	0 	
Gaston	2 	7 	0 	0 	7 	1 	1 	0 	
Gates	0 	0 	5 	0 	5 	1 	2 	0 	
Graham	0 	1 	2 	0 	3 	0 	0 	0 	
Granville	1 	0 	7 	0 	7 	0 	3 	0 	
Greene	2 	0 	5 	0 	5 	1 	1 	0 	
Guilford	3 	5 	6 	0 	11 	3 	3 	0 	
Halifax	2 	1 	5 	0 	6 	2 	3 	0 	
Harnett	0 	3 	2 	0 	5 	1 	1 	0 	
Haywood	2 	1 	4 	0 	5 	1 	0 	0 	
Henderson	1 	5 	0 	0 	5 	0 	0 	0 	
Hertford	2 	0 	5 	0 	5 	0 	3 	0 	
Hoke	0 	0 	5 	0 	5 	1 	1 	0 	
Hyde	1 	0 	5 	0 	5 	2 	0 	0 	
Iredell	1 	5 	0 	0 	5 	1 	1 	0 	
Jackson	0 	0 	5 	0 	5 	1 	0 	0 	
Johnston	2 	7 	0 	0 	7 	1 	0 	0 	
Jones	0 	2 	3 	0 	5 	1 	0 	0 	
Lee	1 	3 	4 	0 	7 	1 	1 	0 	
Lenoir	2 	3 	4 	0 	7 	1 	2 	0 	
Lincoln	2 	5 	0 	0 	5 	1 	0 	0 	
Macon	1 	2 	3 	0 	5 	0 	1 	0 	
Madison	1 	2 	3 	0 	5 	0 	0 	0 	
Martin	1 	0 	5 	0 	5 	0 	1 	0 	
McDowell	1 	4 	1 	0 	5 	0 	0 	0 	
Mecklenburg	3 	3 	6 	0 	9 	3 	3 	0 	
Mitchell	3 	5 	0 	0 	5 	0 	0 	0 	
Montgomery	0 	0 	5 	0 	5 	1 	2 	0 	
Moore	1 	5 	0 	0 	5 	1 	0 	0 	
Nash	1 	3 	4 	0 	7 	1 	2 	0 	
New Hanover	1 	5 	0 	0 	5 	1 	0 	0 	
Northampton	1 	0 	5 	0 	5 	2 	4 	0 	
Onslow	3 	5 	0 	0 	5 	0 	0 	0 	
Orange	1 	0 	5 	0 	5 	2 	2 	0 	
Pamlico	0 	1 	6 	0 	7 	2 	1 	0 	
Pasquotank	1 	0 	7 	0 	7 	0 	1 	0 	
Pender	1 	2 	3 	0 	5 	0 	1 	0 	
Perquimans	1 	2 	4 	0 	6 	3 	2 	0 	
Person	2 	1 	4 	0 	5 	0 	1 	0 	
Pitt	1 	2 	7 	0 	9 	1 	2 	0 	
Polk	2 	5 	0 	0 	5 	0 	0 	0 	
Randolph	1 	5 	0 	0 	5 	0 	0 	0 	
Richmond	0 	0 	7 	0 	7 	0 	1 	0 	
Robeson	0 	0 	8 	0 	8 	0 	2 	3 	
