County	New	Repub.	Dem.	Other	No. of Comm.	Female	African American	Native American	Other
Alamance	1 	3 	2 	0 	5 	1 	0 	0 	
Alexander	2 	5 	0 	0 	5 	0 	0 	0 	
Alleghany	3 	1 	4 	0 	5 	0 	0 	0 	
Anson	0 	0 	7 	0 	7 	1 	4 	0 	
Ashe	2 	5 	0 	0 	5 	1 	0 	0 	
Avery	0 	5 	0 	0 	5 	2 	0 	0 	
Beaufort	0 	4 	3 	0 	7 	0 	2 	0 	
Bertie	0 	0 	5 	0 	5 	0 	3 	0 	
Bladen	3 	1 	8 	0 	9 	1 	2 	0 	
Brunswick	0 	5 	0 	0 	5 	0 	1 	0 	
Buncombe	0 	0 	5 	0 	5 	2 	0 	0 	
Burke	1 	3 	2 	0 	5 	0 	1 	0 	
Cabarrus	2 	5 	0 	0 	5 	1 	0 	0 	
Caldwell	2 	5 	0 	0 	5 	0 	0 	0 	
Camden	2 	4 	1 	0 	5 	1 	0 	0 	
Carteret	2 	7 	0 	0 	7 	0 	0 	0 	
Caswell	1 	1 	6 	0 	7 	1 	3 	0 	
Catawba	1 	5 	0 	0 	5 	3 	0 	0 	
Chatham	3 	3 	2 	0 	5 	2 	0 	0 	
Cherokee	3 	2 	1 	0 	3 	1 	0 	0 	
Chowan	3 	2 	5 	0 	7 	0 	2 	0 	
Clay	2 	2 	1 	0 	3 	0 	0 	0 	
Cleveland	1 	3 	2 	0 	5 	1 	1 	0 	
Columbus	1 	0 	7 	0 	7 	0 	1 	1 	
Craven	3 	5 	2 	0 	7 	0 	2 	1 	
Cumberland	1 	0 	7 	0 	7 	1 	3 	0 	
Currituck	3 	7 	0 	0 	7 	1 	0 	0 	
Dare	0 	3 	4 	0 	7 	1 	1 	0 	
Davidson	1 	7 	0 	0 	7 	1 	0 	0 	
Davie	2 	5 	0 	0 	5 	0 	0 	0 	
Duplin	1 	1 	5 	0 	6 	3 	2 	0 	
Durham	0 	0 	5 	0 	5 	3 	3 	0 	
Edgecombe	1 	0 	7 	0 	7 	2 	4 	0 	
Forsyth	2 	5 	2 	0 	7 	2 	2 	0 	
Franklin	1 	3 	4 	0 	7 	1 	1 	0 	
Gaston	1 	7 	0 	0 	7 	0 	0 	0 	
