County	New	Repub.	Dem.	Other	No. of Comm.	Female	African American	Native American	Other
Gates	2 	0 	5 	0 	5 	0 	1 	0 	
Graham	3 	4 	1 	0 	5 	2 	0 	0 	
Granville	3 	1 	6 	0 	7 	0 	3 	0 	
Greene	0 	0 	5 	0 	5 	0 	1 	0 	
Guilford	1 	4 	7 	0 	11 	3 	3 	0 	
Halifax	1 	0 	6 	0 	6 	2 	4 	0 	
Harnett	0 	3 	2 	0 	5 	1 	1 	0 	
Haywood	1 	1 	4 	0 	5 	0 	0 	0 	
Henderson	2 	5 	0 	0 	5 	0 	0 	0 	
Hertford	0 	0 	5 	0 	5 	0 	4 	0 	
Hoke	0 	0 	5 	0 	5 	2 	2 	1 	
Hyde	2 	0 	4 	1 	5 	2 	0 	0 	
Iredell	1 	5 	0 	0 	5 	1 	1 	0 	
Jackson	3 	2 	2 	1 	5 	0 	0 	0 	
Johnston	0 	7 	0 	0 	7 	1 	0 	0 	
Jones	2 	1 	4 	0 	5 	1 	0 	0 	
Lee	2 	4 	3 	0 	7 	1 	1 	0 	
Lenoir	2 	2 	4 	1 	7 	2 	2 	0 	
Lincoln	1 	5 	0 	0 	5 	0 	0 	0 	
Macon	1 	3 	2 	0 	5 	0 	0 	0 	
Madison	3 	1 	4 	0 	5 	2 	0 	0 	
Martin	1 	0 	3 	2 	5 	0 	1 	0 	
McDowell	1 	5 	0 	0 	5 	0 	0 	0 	
Mecklenburg	1 	4 	5 	0 	9 	3 	3 	0 	
Mitchell	3 	5 	0 	0 	5 	0 	0 	0 	
Montgomery	0 	1 	4 	0 	5 	0 	1 	0 	
Moore	1 	5 	0 	0 	5 	0 	0 	0 	
Nash	0 	3 	4 	0 	7 	2 	2 	0 	
New Hanover	2 	4 	1 	0 	5 	0 	1 	0 	
Northampton	0 	0 	5 	0 	5 	2 	4 	0 	
Onslow	0 	5 	0 	0 	5 	1 	0 	0 	
Orange	1 	0 	7 	0 	7 	4 	1 	0 	
Pamlico	0 	2 	5 	0 	7 	2 	1 	0 	
Pasquotank	3 	0 	7 	0 	7 	0 	1 	0 	
Pender	1 	3 	2 	0 	5 	0 	2 	0 	
Perquimans	1 	2 	4 	0 	6 	3 	2 	0 	
Person	1 	2 	3 	0 	5 	1 	1 	0 	
Pitt	1 	2 	7 	0 	9 	1 	2 	0 	
Polk	2 	2 	3 	0 	5 	2 	0 	0 	
Randolph	0 	5 	0 	0 	5 	0 	0 	0 	
Richmond	2 	1 	6 	0 	7 	1 	1 	0 	
Robeson	1 	1 	7 	0 	8 	0 	2 	3 	
Rockingham	2 	2 	3 	0 	5 	0 	1 	0 	
Rowan	1 	4 	1 	0 	5 	0 	0 	0 	
Rutherford	3 	3 	2 	0 	5 	1 	0 	0 	
Sampson	1 	3 	2 	0 	5 	0 	2 	0 	
Scotland	2 	0 	7 	0 	7 	2 	3 	0 	
Stanly	1 	5 	0 	0 	5 	1 	0 	0 	
Stokes	2 	5 	0 	0 	5 	1 	0 	0 	
Surry	3 	5 	0 	0 	5 	0 	0 	0 	
Swain	2 	0 	5 	0 	5 	0 	0 	0 	
Transylvania	1 	5 	0 	0 	5 	0 	0 	0 	
Tyrrell	0 	0 	4 	1 	5 	0 	1 	0 	
Union	3 	5 	0 	0 	5 	2 	0 	0 	
Vance	2 	2 	5 	0 	7 	1 	3 	0 	
Wake	1 	4 	3 	0 	7 	1 	1 	0 	
Warren	2 	0 	5 	0 	5 	3 	4 	1 	
Washington	1 	0 	5 	0 	5 	2 	2 	0 	
Watauga	3 	3 	2 	0 	5 	0 	0 	0 	
Wayne	0 	2 	5 	0 	7 	1 	2 	0 	
Wilkes	2 	5 	0 	0 	5 	0 	0 	0 	
Wilson	3 	3 	4 	0 	7 	1 	3 	0 	
Yadkin	3 	5 	0 	0 	5 	0 	0 	0 	
Yancey	4 	2 	3 	0 	5 	2 	0 	0 	
