GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
0500000US37001,37001,"Alamance County, North Carolina",151170,*****,105718,920,27279,579,374,106,1910,198,154,205,11723,1026,4012,747,711,411,3301,590
0500000US37003,37003,"Alexander County, North Carolina",37014,*****,32871,240,2021,149,87,62,314,118,9,11,1164,250,548,199,19,27,529,199
0500000US37005,37005,"Alleghany County, North Carolina",11069,*****,10276,162,128,59,36,43,32,31,10,19,425,160,162,103,0,20,162,103
0500000US37007,37007,"Anson County, North Carolina",26699,*****,12687,308,12968,194,174,115,301,24,0,24,318,308,251,135,7,14,244,135
0500000US37009,37009,"Ashe County, North Carolina",27099,*****,25561,144,109,61,136,49,69,42,0,24,867,178,357,112,88,67,269,93
0500000US37011,37011,"Avery County, North Carolina",17815,*****,15503,448,705,178,135,75,133,101,57,75,321,184,961,360,31,29,930,356
0500000US37013,37013,"Beaufort County, North Carolina",47542,*****,32475,308,12440,175,45,43,88,69,1,3,1869,361,624,264,87,121,537,223
0500000US37015,37015,"Bertie County, North Carolina",21035,*****,7456,102,13247,139,61,43,112,13,4,8,74,90,81,76,0,24,81,76
0500000US37017,37017,"Bladen County, North Carolina",34922,*****,20176,349,11918,406,788,143,46,44,0,27,1055,373,939,437,67,79,872,443
0500000US37019,37019,"Brunswick County, North Carolina",107925,*****,91265,369,12134,399,311,117,482,166,97,97,1208,320,2428,358,104,62,2324,359
0500000US37021,37021,"Buncombe County, North Carolina",239000,*****,211727,852,15326,583,951,267,2484,198,194,93,2627,695,5691,762,1026,358,4665,614
0500000US37023,37023,"Burke County, North Carolina",90821,*****,77635,523,6068,304,247,79,3023,193,28,30,2072,532,1748,398,251,143,1497,347
0500000US37025,37025,"Cabarrus County, North Carolina",178396,*****,139602,895,27464,322,724,335,3624,204,14,22,3293,783,3675,520,458,231,3217,502
0500000US37027,37027,"Caldwell County, North Carolina",82493,*****,74276,459,3928,274,289,182,477,72,74,69,2295,531,1154,312,81,95,1073,272
0500000US37029,37029,"Camden County, North Carolina",9965,*****,8191,64,1305,160,133,170,186,20,0,20,78,64,72,74,0,20,72,74
0500000US37031,37031,"Carteret County, North Carolina",66415,*****,58957,292,4341,341,364,127,624,89,5,10,985,320,1139,252,96,66,1043,248
0500000US37033,37033,"Caswell County, North Carolina",23615,*****,14783,129,7926,228,132,93,21,22,0,24,296,107,457,215,69,85,388,218
0500000US37035,37035,"Catawba County, North Carolina",154201,*****,127427,849,13112,380,571,182,5305,227,40,61,4700,899,3046,600,551,230,2495,497
0500000US37037,37037,"Chatham County, North Carolina",63896,*****,50154,841,8586,251,215,89,809,91,10,18,3209,841,913,301,207,196,706,227
0500000US37039,37039,"Cherokee County, North Carolina",27304,*****,25427,143,267,120,507,190,155,35,4,9,353,158,591,195,51,56,540,194
